Time to expected flood,Wind speed,Future weather forecast,Demographics of threatened area ,Temperature,Precipitation Status,Evacuate or Not?,
> 12 hours,Low: 0-5 Bft,Improves,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Partly populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Partly populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Partly populated,15+ degrees Celsius,No precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Partly populated,15+ degrees Celsius,Precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Densely populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Densely populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Densely populated,15+ degrees Celsius,No precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Improves,Densely populated,15+ degrees Celsius,Precipitation,Evacuate,
> 12 hours,Low: 0-5 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
> 12 hours,Low: 0-5 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
