Use Case Scenario #05: Fire in Building - Firefighting Vehicles Needed,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
No.,Number of Floors,Est. People inside the Building need to be rescued,Percentage of Building on fire,Are Fire Extiquinshing Mechanisms existent?,Access to floors (emergency exits)  blocked?,Estimated Need in Firefighting Vehicles
1,Low: < 4,Low: < 80,Low: < 25%,Yes,Yes,Low: < 4
2,Low: < 4,Low: < 80,Low: < 25%,Yes,No,Low: < 4
3,Low: < 4,Low: < 80,Low: < 25%,No,Yes,Low: < 4
4,Low: < 4,Low: < 80,Low: < 25%,No,No,Low: < 4
5,Low: < 4,Low: < 80,Medium: 25-50%,Yes,Yes,Medium: 4-8
6,Low: < 4,Low: < 80,Medium: 25-50%,Yes,No,Medium: 4-8
7,Low: < 4,Low: < 80,Medium: 25-50%,No,Yes,Medium: 4-8
8,Low: < 4,Low: < 80,Medium: 25-50%,No,No,Medium: 4-8
9,Low: < 4,Low: < 80,High: > 50%,Yes,Yes,Medium: 4-8
10,Low: < 4,Low: < 80,High: > 50%,Yes,No,Medium: 4-8
11,Low: < 4,Low: < 80,High: > 50%,No,Yes,Medium: 4-8
12,Low: < 4,Low: < 80,High: > 50%,No,No,Medium: 4-8
13,Low: < 4,Medium: 80-200,Low: < 25%,Yes,Yes,Medium: 4-8
14,Low: < 4,Medium: 80-200,Low: < 25%,Yes,No,Medium: 4-8
15,Low: < 4,Medium: 80-200,Low: < 25%,No,Yes,High: >8
16,Low: < 4,Medium: 80-200,Low: < 25%,No,No,Medium: 4-8
17,Low: < 4,Medium: 80-200,Medium: 25-50%,Yes,Yes,Medium: 4-8
18,Low: < 4,Medium: 80-200,Medium: 25-50%,Yes,No,Medium: 4-8
19,Low: < 4,Medium: 80-200,Medium: 25-50%,No,Yes,High: >8
20,Low: < 4,Medium: 80-200,Medium: 25-50%,No,No,Medium: 4-8
21,Low: < 4,Medium: 80-200,High: > 50%,Yes,Yes,Medium: 4-8
22,Low: < 4,Medium: 80-200,High: > 50%,Yes,No,Medium: 4-8
23,Low: < 4,Medium: 80-200,High: > 50%,No,Yes,High: >8
24,Low: < 4,Medium: 80-200,High: > 50%,No,No,Medium: 4-8
25,Low: < 4,High: > 200,Low: < 25%,Yes,Yes,Medium: 4-8
26,Low: < 4,High: > 200,Low: < 25%,Yes,No,Medium: 4-8
27,Low: < 4,High: > 200,Low: < 25%,No,Yes,High: >8
28,Low: < 4,High: > 200,Low: < 25%,No,No,Medium: 4-8
29,Low: < 4,High: > 200,Medium: 25-50%,Yes,Yes,Medium: 4-8
30,Low: < 4,High: > 200,Medium: 25-50%,Yes,No,Medium: 4-8
31,Low: < 4,High: > 200,Medium: 25-50%,No,Yes,High: >8
32,Low: < 4,High: > 200,Medium: 25-50%,No,No,Medium: 4-8
33,Low: < 4,High: > 200,High: > 50%,Yes,Yes,Medium: 4-8
34,Low: < 4,High: > 200,High: > 50%,Yes,No,Medium: 4-8
35,Low: < 4,High: > 200,High: > 50%,No,Yes,High: >8
36,Low: < 4,High: > 200,High: > 50%,No,No,High: >8
37,Medium: 4-10,Low: < 80,Low: < 25%,Yes,Yes,Medium: 4-8
38,Medium: 4-10,Low: < 80,Low: < 25%,Yes,No,Medium: 4-8
