Use Case Scenario #06: Fire in Building - Non Fire-Fighers First Responders Needed,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
No.,Number of Floors,Est. People inside the Building need to be rescued,Percentage of Building on fire,Are Fire Extiquinshing Mechanisms existent?,Access to floors (emergency exits)  blocked?,Estimated Need in Non Fire-Fighers First Responders Needed
1,Low: < 4,Low: < 20,Low: < 25%,Yes,Yes,Low: < 15
2,Low: < 4,Low: < 20,Low: < 25%,Yes,No,Low: < 15
3,Low: < 4,Low: < 20,Low: < 25%,No,Yes,Low: < 15
4,Low: < 4,Low: < 20,Low: < 25%,No,No,Low: < 15
5,Low: < 4,Low: < 20,Medium: 25-50%,Yes,Yes,Low: < 15
6,Low: < 4,Low: < 20,Medium: 25-50%,Yes,No,Low: < 15
7,Low: < 4,Low: < 20,Medium: 25-50%,No,Yes,Low: < 15
8,Low: < 4,Low: < 20,Medium: 25-50%,No,No,Low: < 15
9,Low: < 4,Low: < 20,High: > 50%,Yes,Yes,Medium: 15-30
10,Low: < 4,Low: < 20,High: > 50%,Yes,No,Medium: 15-30
11,Low: < 4,Low: < 20,High: > 50%,No,Yes,Medium: 15-30
12,Low: < 4,Low: < 20,High: > 50%,No,No,Medium: 15-30
13,Low: < 4,Medium: 20-40,Low: < 25%,Yes,Yes,Medium: 15-30
14,Low: < 4,Medium: 20-40,Low: < 25%,Yes,No,Medium: 15-30
15,Low: < 4,Medium: 20-40,Low: < 25%,No,Yes,Medium: 15-30
16,Low: < 4,Medium: 20-40,Low: < 25%,No,No,Medium: 15-30
17,Low: < 4,Medium: 20-40,Medium: 25-50%,Yes,Yes,Medium: 15-30
18,Low: < 4,Medium: 20-40,Medium: 25-50%,Yes,No,Medium: 15-30
19,Low: < 4,Medium: 20-40,Medium: 25-50%,No,Yes,Medium: 15-30
20,Low: < 4,Medium: 20-40,Medium: 25-50%,No,No,Medium: 15-30
21,Low: < 4,Medium: 20-40,High: > 50%,Yes,Yes,Medium: 15-30
22,Low: < 4,Medium: 20-40,High: > 50%,Yes,No,Medium: 15-30
23,Low: < 4,Medium: 20-40,High: > 50%,No,Yes,Medium: 15-30
24,Low: < 4,Medium: 20-40,High: > 50%,No,No,Medium: 15-30
25,Low: < 4,High: > 40,Low: < 25%,Yes,Yes,Medium: 15-30
26,Low: < 4,High: > 40,Low: < 25%,Yes,No,Medium: 15-30
27,Low: < 4,High: > 40,Low: < 25%,No,Yes,Medium: 15-30
28,Low: < 4,High: > 40,Low: < 25%,No,No,Medium: 15-30
29,Low: < 4,High: > 40,Medium: 25-50%,Yes,Yes,Medium: 15-30
30,Low: < 4,High: > 40,Medium: 25-50%,Yes,No,Medium: 15-30
31,Low: < 4,High: > 40,Medium: 25-50%,No,Yes,Medium: 15-30
32,Low: < 4,High: > 40,Medium: 25-50%,No,No,Medium: 15-30
33,Low: < 4,High: > 40,High: > 50%,Yes,Yes,Medium: 15-30
34,Low: < 4,High: > 40,High: > 50%,Yes,No,Medium: 15-30
35,Low: < 4,High: > 40,High: > 50%,No,Yes,Medium: 15-30
36,Low: < 4,High: > 40,High: > 50%,No,No,Medium: 15-30
37,Medium: 4-10,Low: < 20,Low: < 25%,Yes,Yes,Medium: 15-30
38,Medium: 4-10,Low: < 20,Low: < 25%,Yes,No,Medium: 15-30
39,Medium: 4-10,Low: < 20,Low: < 25%,No,Yes,Medium: 15-30
40,Medium: 4-10,Low: < 20,Low: < 25%,No,No,Medium: 15-30
41,Medium: 4-10,Low: < 20,Medium: 25-50%,Yes,Yes,Medium: 15-30
42,Medium: 4-10,Low: < 20,Medium: 25-50%,Yes,No,Medium: 15-30
43,Medium: 4-10,Low: < 20,Medium: 25-50%,No,Yes,Medium: 15-30
44,Medium: 4-10,Low: < 20,Medium: 25-50%,No,No,Medium: 15-30
45,Medium: 4-10,Low: < 20,High: > 50%,Yes,Yes,Medium: 15-30
46,Medium: 4-10,Low: < 20,High: > 50%,Yes,No,Medium: 15-30
47,Medium: 4-10,Low: < 20,High: > 50%,No,Yes,Medium: 15-30
48,Medium: 4-10,Low: < 20,High: > 50%,No,No,Medium: 15-30
49,Medium: 4-10,Medium: 20-40,Low: < 25%,Yes,Yes,Medium: 15-30
50,Medium: 4-10,Medium: 20-40,Low: < 25%,Yes,No,Medium: 15-30
51,Medium: 4-10,Medium: 20-40,Low: < 25%,No,Yes,Medium: 15-30
52,Medium: 4-10,Medium: 20-40,Low: < 25%,No,No,Medium: 15-30
53,Medium: 4-10,Medium: 20-40,Medium: 25-50%,Yes,Yes,Medium: 15-30
54,Medium: 4-10,Medium: 20-40,Medium: 25-50%,Yes,No,Medium: 15-30
55,Medium: 4-10,Medium: 20-40,Medium: 25-50%,No,Yes,Medium: 15-30
56,Medium: 4-10,Medium: 20-40,Medium: 25-50%,No,No,Medium: 15-30
57,Medium: 4-10,Medium: 20-40,High: > 50%,Yes,Yes,Medium: 15-30
58,Medium: 4-10,Medium: 20-40,High: > 50%,Yes,No,Medium: 15-30
59,Medium: 4-10,Medium: 20-40,High: > 50%,No,Yes,Medium: 15-30
60,Medium: 4-10,Medium: 20-40,High: > 50%,No,No,Medium: 15-30
61,Medium: 4-10,High: > 40,Low: < 25%,Yes,Yes,High: >30
62,Medium: 4-10,High: > 40,Low: < 25%,Yes,No,High: >30
63,Medium: 4-10,High: > 40,Low: < 25%,No,Yes,High: >30
64,Medium: 4-10,High: > 40,Low: < 25%,No,No,High: >30
65,Medium: 4-10,High: > 40,Medium: 25-50%,Yes,Yes,High: >30
66,Medium: 4-10,High: > 40,Medium: 25-50%,Yes,No,High: >30
67,Medium: 4-10,High: > 40,Medium: 25-50%,No,Yes,High: >30
68,Medium: 4-10,High: > 40,Medium: 25-50%,No,No,High: >30
69,Medium: 4-10,High: > 40,High: > 50%,Yes,Yes,High: >30
70,Medium: 4-10,High: > 40,High: > 50%,Yes,No,High: >30
71,Medium: 4-10,High: > 40,High: > 50%,No,Yes,High: >30
72,Medium: 4-10,High: > 40,High: > 50%,No,No,High: >30
73,High: > 10,Low: < 20,Low: < 25%,Yes,Yes,High: >30
74,High: > 10,Low: < 20,Low: < 25%,Yes,No,High: >30
75,High: > 10,Low: < 20,Low: < 25%,No,Yes,High: >30
76,High: > 10,Low: < 20,Low: < 25%,No,No,High: >30
77,High: > 10,Low: < 20,Medium: 25-50%,Yes,Yes,High: >30
78,High: > 10,Low: < 20,Medium: 25-50%,Yes,No,High: >30
79,High: > 10,Low: < 20,Medium: 25-50%,No,Yes,High: >30
80,High: > 10,Low: < 20,Medium: 25-50%,No,No,High: >30
81,High: > 10,Low: < 20,High: > 50%,Yes,Yes,High: >30
82,High: > 10,Low: < 20,High: > 50%,Yes,No,High: >30
83,High: > 10,Low: < 20,High: > 50%,No,Yes,High: >30
84,High: > 10,Low: < 20,High: > 50%,No,No,High: >30
85,High: > 10,Medium: 20-40,Low: < 25%,Yes,Yes,High: >30
86,High: > 10,Medium: 20-40,Low: < 25%,Yes,No,High: >30
87,High: > 10,Medium: 20-40,Low: < 25%,No,Yes,High: >30
88,High: > 10,Medium: 20-40,Low: < 25%,No,No,High: >30
89,High: > 10,Medium: 20-40,Medium: 25-50%,Yes,Yes,High: >30
90,High: > 10,Medium: 20-40,Medium: 25-50%,Yes,No,High: >30
91,High: > 10,Medium: 20-40,Medium: 25-50%,No,Yes,High: >30
