Use Case Scenario #07: CBRN dispersion in atmoshphere - Evacuation,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
No.,"Area Covered 
Sq. Km. ",Est. People (impacted),"Wind Speed
(Bft)",Type of Hazard,Exposure Level,Evacuation?
1,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,Low,No
2,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,Medium,No
3,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,High,Yes
4,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,Low,No
5,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,Medium,Yes
6,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,High,Yes
7,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,Low,No
8,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,Medium,Yes
9,Low: < 0.5 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,High,Yes
10,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,Low,No
11,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,Medium,Yes
12,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,High,Yes
13,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,Low,Yes
14,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,Medium,Yes
15,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,High,Yes
16,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,Low,Yes
17,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,Medium,Yes
18,Low: < 0.5 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,High,Yes
19,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,Low,No
20,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,Medium,Yes
21,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,High,Yes
22,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,Low,Yes
23,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,Medium,Yes
24,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,High,Yes
25,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,Low,Yes
26,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,Medium,Yes
27,Low: < 0.5 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,High,Yes
28,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,Low,No
29,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,Medium,Yes
30,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,High,Yes
31,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,Low,Yes
32,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,Medium,Yes
33,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,High,Yes
34,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,Low,Yes
35,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,Medium,Yes
36,Low: < 0.5 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,High,Yes
37,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,Low,No
38,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,Medium,Yes
39,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,High,Yes
40,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,Low,Yes
41,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,Medium,Yes
42,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,High,Yes
43,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,Low,Yes
44,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,Medium,Yes
45,Low: < 0.5 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,High,Yes
46,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,Low,No
47,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,Medium,Yes
48,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,High,Yes
49,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,Low,Yes
50,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,Medium,Yes
51,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,High,Yes
52,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,Low,Yes
53,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,Medium,Yes
54,Low: < 0.5 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,High,Yes
55,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,Low,Low,No
56,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,Low,Medium,Yes
57,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,Low,High,Yes
58,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,Low,Yes
59,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,Medium,Yes
60,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,High,Yes
61,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,High,Low,Yes
62,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,High,Medium,Yes
63,Low: < 0.5 Sq. Km,High: >3000,Low: 0-5 Bft,High,High,Yes
64,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,Low,No
65,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,Medium,Yes
66,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,High,Yes
67,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,Low,Yes
68,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,Medium,Yes
69,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,High,Yes
70,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,High,Low,Yes
71,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,High,Medium,Yes
72,Low: < 0.5 Sq. Km,High: >3000,Medium: 5-8 Bft,High,High,Yes
73,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,Low,Low,No
74,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,Low,Medium,Yes
75,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,Low,High,Yes
76,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,Medium,Low,Yes
77,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,Medium,Medium,Yes
78,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,Medium,High,Yes
79,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,High,Low,Yes
80,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,High,Medium,Yes
81,Low: < 0.5 Sq. Km,High: >3000,High: > 8 Bft,High,High,Yes
82,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,Low,No
83,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,Medium,Yes
84,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,High,Yes
85,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,Low,Yes
86,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,Medium,Yes
87,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,High,Yes
88,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,Low,Yes
89,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,Medium,Yes
90,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,High,Yes
91,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,Low,No
92,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,Medium,Yes
93,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,High,Yes
94,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,Low,Yes
95,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,Medium,Yes
96,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,High,Yes
97,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,Low,Yes
98,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,Medium,Yes
99,Medium: 0.5-1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,High,Yes
100,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,Low,No
101,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,Medium,Yes
102,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,High,Yes
103,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,Low,Yes
104,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,Medium,Yes
105,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,High,Yes
106,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,Low,Yes
107,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,Medium,Yes
108,Medium: 0.5-1 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,High,Yes
109,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,Low,Yes
110,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,Medium,Yes
111,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,High,Yes
112,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,Low,Yes
113,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,Medium,Yes
114,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,High,Yes
115,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,Low,Yes
116,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,Medium,Yes
117,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,High,Yes
118,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,Low,Yes
119,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,Medium,Yes
120,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,High,Yes
121,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,Low,Yes
122,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,Medium,Yes
123,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,High,Yes
